eta,sigma,gamma,EIS,N,A,common_quality,fee_share_output
0.9,0.2,0.5,2.0,160,0.9168482207697894,1.041,0.0770626202450547
0.9,0.2,0.5,2.0,160,0.9168482207697894,1.06,0.07784427723875782
0.9,0.2,1.0,1.0,160,0.9168482207697894,1.041,0.07560668355204002
0.9,0.2,1.0,1.0,160,0.9168482207697894,1.06,0.0755774004107522
0.9,0.2,2.0,0.5,160,0.9168482207697894,1.041,0.07436349447590668
0.9,0.2,2.0,0.5,160,0.9168482207697894,1.06,0.07355699763713837
0.9,0.9,0.5,2.0,480,0.15432098765432103,1.041,0.05839034575075231
0.9,0.9,0.5,2.0,480,0.15432098765432103,1.06,0.05875766792986794
0.9,0.9,1.0,1.0,480,0.15432098765432103,1.041,0.05749243991241101
0.9,0.9,1.0,1.0,480,0.15432098765432103,1.06,0.05738055468403032
0.9,0.9,2.0,0.5,480,0.15432098765432103,1.041,0.05686621490145085
0.9,0.9,2.0,0.5,480,0.15432098765432103,1.06,0.05638191114537618
0.36,0.2,0.5,2.0,160,2.292120551924474,1.041,0.031049081307314888
0.36,0.2,0.5,2.0,160,2.292120551924474,1.06,0.03102779658593202
0.36,0.2,1.0,1.0,160,2.292120551924474,1.041,0.030813232889060172
0.36,0.2,1.0,1.0,160,2.292120551924474,1.06,0.03078627491643378
0.36,0.2,2.0,0.5,160,2.292120551924474,1.041,0.030500773384587
0.36,0.2,2.0,0.5,160,2.292120551924474,1.06,0.030442156450217927
0.36,0.9,0.5,2.0,160,0.38580246913580263,1.041,0.023027013012837806
0.36,0.9,0.5,2.0,160,0.38580246913580263,1.06,0.022427890184548695
0.36,0.9,1.0,1.0,160,0.38580246913580263,1.041,0.02299330391857533
0.36,0.9,1.0,1.0,160,0.38580246913580263,1.06,0.022629520000416802
0.36,0.9,2.0,0.5,160,0.38580246913580263,1.041,0.022903340136515665
0.36,0.9,2.0,0.5,160,0.38580246913580263,1.06,0.022648124350035184
