case,beta,eta,sigma,common_q,formula_fee,numerical_fee,fee_error,value_error,min_prefix_investment
cobb_full_depreciation,0.9,0.36,0.0,1.05,0.024307859392967264,0.024307859392966386,8.777700788442644e-16,0.0,0.12354422682210857
cobb_full_depreciation,0.9,0.36,0.0,1.12,0.024307859392967264,0.024307859392967028,2.3592239273284576e-16,1.7763568394002505e-15,0.12435731518177202
cobb_full_depreciation,0.9,0.9,0.0,1.05,0.06857392424633806,0.06857392424633808,2.7755575615628914e-17,7.105427357601002e-15,0.059525359766355014
cobb_full_depreciation,0.9,0.9,0.0,1.12,0.06857392424633806,0.06857392424633788,1.8041124150158794e-16,0.0,0.07814478942652218
cobb_full_depreciation,0.9,1.0,0.0,1.05,0.07791850389880148,0.07791850389880106,4.163336342344337e-16,0.0,0.03593499986927483
cobb_full_depreciation,0.9,1.0,0.0,1.12,0.07791850389880148,0.07791850389880027,1.2073675392798577e-15,0.0,0.05292854911532916
linear_with_survival,0.9,1.0,0.0,1.05,0.09739812987350187,0.09739812987350144,4.3021142204224816e-16,3.552713678800501e-15,0.5229230718290607
linear_with_survival,0.9,1.0,0.0,1.12,0.09739812987350187,0.09739812987350178,8.326672684688674e-17,0.0,0.765674419827825
linear_with_survival,0.9,1.0,0.2,1.05,0.09545012553689038,0.09545012553689051,1.3877787807814457e-16,1.7763568394002505e-15,1.05982297879723
linear_with_survival,0.9,1.0,0.2,1.12,0.09545012553689038,0.09545012553688988,4.996003610813204e-16,3.552713678800501e-15,1.0598229787972304
linear_with_survival,0.9,1.0,0.9,1.05,0.0883703099218377,0.08837030992184183,4.135580766728708e-15,7.105427357601002e-15,0.9812431340822831
linear_with_survival,0.9,1.0,0.9,1.12,0.0883703099218377,0.08837030992183664,1.0547118733938987e-15,7.105427357601002e-15,0.9812431340822878
cobb_full_depreciation,0.96,0.36,0.0,1.05,0.024430163206142302,0.0244301632061398,2.501471252358556e-15,0.0,0.13675077899185534
cobb_full_depreciation,0.96,0.36,0.0,1.12,0.024430163206142302,0.024430163206140564,1.7381929229287607e-15,0.0,0.13831754478609912
cobb_full_depreciation,0.96,0.9,0.0,1.05,0.06891167725084914,0.0689116772508471,2.040034807748725e-15,0.0,0.0956350888384119
cobb_full_depreciation,0.96,0.9,0.0,1.12,0.06891167725084914,0.0689116772508509,1.762479051592436e-15,1.4210854715202004e-14,0.1255495793456513
cobb_full_depreciation,0.96,1.0,0.0,1.05,0.07830076514389095,0.0783007651438916,6.522560269672795e-16,0.0,0.07966890830995936
cobb_full_depreciation,0.96,1.0,0.0,1.12,0.07830076514389095,0.07830076514389082,1.249000902703301e-16,0.0,0.11734408631663196
linear_with_survival,0.96,1.0,0.0,1.05,0.0978759564298637,0.09787595642986457,8.743006318923108e-16,1.4210854715202004e-14,1.152505522409596
linear_with_survival,0.96,1.0,0.0,1.12,0.0978759564298637,0.09787595642986437,6.661338147750939e-16,1.4210854715202004e-14,1.1540390818273303
linear_with_survival,0.96,1.0,0.2,1.05,0.0974679778103893,0.09746797781038935,5.551115123125783e-17,7.105427357601002e-15,1.1445616380500347
linear_with_survival,0.96,1.0,0.2,1.12,0.0974679778103893,0.09746797781039038,1.0824674490095276e-15,3.552713678800501e-14,1.1445616380500336
linear_with_survival,0.96,1.0,0.9,1.05,0.09540105785419972,0.09540105785419752,2.2065682614424986e-15,0.0,1.1120040198260088
linear_with_survival,0.96,1.0,0.9,1.12,0.09540105785419972,0.09540105785419688,2.8449465006019636e-15,0.0,1.1120040198260095
